TS, DPE, VALUE
13-10-2017 01:37:47.97800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:37:47.97800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:37:52.50000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-1.5573458209937829E-002
13-10-2017 01:37:52.50000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,1.5573458209937829E-002
13-10-2017 01:37:52.50000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:37:52.50000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:37:52.50000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-3.1146916419875659E-002
13-10-2017 01:37:53.50500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:37:53.50500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.0E+001
13-10-2017 01:37:53.50500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:38:03.53500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:38:03.53500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.1E+001
13-10-2017 01:38:03.53500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:38:08.05600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:38:08.05600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:38:08.05600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-7.7867291049689147E-003
13-10-2017 01:38:08.05600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,7.7867291049689147E-003
13-10-2017 01:38:08.05600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-1.5573458209937829E-002
13-10-2017 01:38:09.06100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.2E+001
13-10-2017 01:38:09.06100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:38:09.06100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:38:19.09100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:38:19.09100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:38:19.09100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.3E+001
13-10-2017 01:38:23.61400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:38:23.61400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,0
13-10-2017 01:38:23.61400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:38:23.61400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,0
13-10-2017 01:38:23.61400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,0
13-10-2017 01:38:24.61900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:38:24.61900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:38:24.61900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.4E+001
13-10-2017 01:38:54.70100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:38:54.70100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,2.5E+001
13-10-2017 01:38:54.70100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:38:59.22300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
